iter	Passed	Remaining
834	12891	2547
835	12906	2531
836	12921	2516
837	12937	2501
838	12974	2489
839	12992	2474
840	13007	2459
841	13021	2443
842	13037	2428
843	13050	2412
844	13064	2396
845	13078	2380
846	13094	2365
847	13109	2349
848	13124	2334
849	13139	2318
850	13152	2302
851	13167	2287
852	13180	2271
853	13194	2255
854	13209	2240
855	13224	2224
856	13240	2209
857	13255	2193
858	13270	2178
859	13283	2162
860	13297	2146
861	13313	2131
862	13331	2116
863	13345	2100
864	13360	2085
865	13374	2069
866	13389	2053
867	13403	2038
868	13418	2022
869	13433	2007
870	13448	1991
871	13462	1976
872	13476	1960
873	13490	1944
874	13505	1929
875	13520	1913
876	13536	1898
877	13550	1882
878	13564	1867
879	13577	1851
880	13591	1835
881	13606	1820
882	13623	1805
883	13637	1789
884	13652	1774
885	13667	1758
886	13682	1743
887	13706	1728
888	13721	1713
889	13736	1697
890	13751	1682
891	13765	1666
892	13779	1651
893	13792	1635
894	13806	1619
895	13822	1604
896	13836	1588
897	13851	1573
898	13865	1557
899	13879	1542
900	13893	1526
901	13908	1511
902	13924	1495
903	13938	1480
904	13953	1464
905	13966	1449
906	13980	1433
907	13994	1417
908	14008	1402
909	14023	1386
910	14036	1371
911	14051	1355
912	14065	1340
913	14079	1324
914	14093	1309
915	14108	1293
916	14123	1278
917	14138	1262
918	14153	1247
919	14166	1231
920	14181	1216
921	14198	1201
922	14213	1185
923	14228	1170
924	14244	1154
925	14258	1139
926	14272	1123
927	14285	1108
928	14300	1092
929	14316	1077
930	14331	1062
931	14346	1046
932	14360	1031
933	14375	1015
934	14389	1000
935	14403	984
936	14417	969
937	14431	953
938	14447	938
939	14462	923
940	14477	907
941	14492	892
942	14508	876
943	14523	861
944	14538	846
945	14554	830
946	14569	815
947	14584	799
948	14599	784
949	14616	769
950	14631	753
951	14645	738
952	14658	722
953	14671	707
954	14685	692
955	14699	676
956	14714	661
957	14728	645
958	14743	630
959	14757	614
960	14771	599
961	14785	584
962	14799	568
963	14814	553
964	14827	537
965	14843	522
966	14857	507
967	14872	491
968	14887	476
969	14901	460
970	14917	445
971	14930	430
972	14945	414
973	14959	399
974	14974	383
975	14990	368
976	15004	353
977	15020	337
978	15034	322
979	15048	307
980	15061	291
981	15075	276
982	15090	260
983	15105	245
984	15119	230
985	15135	214
986	15149	199
987	15162	184
988	15175	168
989	15191	153
990	15206	138
991	15222	122
992	15238	107
993	15252	92
994	15266	76
995	15282	61
996	15296	46
997	15309	30
998	15325	15
999	15340	0
